date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:16:54	2067/2067	---M--	200	added ('OK')	text/css	etag:%225a6f7b-813-3ef0a663b3680%22	http://gmpg.org/xfn/default.css	C:/My%20Web%20Sites/skatrr%20prelpofc2/gmpg.org/images/default.css	(from http://gmpg.org/xfn/11)
07:16:55	4170/4170	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202017%2011:16:53%20GMT	http://gmpg.org/xfn/.	C:/My%20Web%20Sites/skatrr%20prelpofc2/gmpg.org/.html	(from http://gmpg.org/xfn/11)
07:16:57	16269/16269	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202017%2011:16:54%20GMT	http://gmpg.org/xfn/intro	C:/My%20Web%20Sites/skatrr%20prelpofc2/gmpg.org/intro.html	(from http://gmpg.org/xfn/11)
07:16:59	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2006%20Jul%202017%2011:16:57%20GMT	http://fonts.googleapis.com/robots.txt		(from http://kpens.us/)
07:16:59	7342/7342	---MC-	200	added ('OK')	text/html	date:Thu,%2006%20Jul%202017%2011:16:54%20GMT	http://gmpg.org/xfn/faq	C:/My%20Web%20Sites/skatrr%20prelpofc2/gmpg.org/faq.html	(from http://gmpg.org/xfn/11)
07:16:59	237/237	---M--	200	added ('OK')	text/plain	date:Mon,%2005%20Jan%202015%2017:24:55%20GMT	http://s.w.org/robots.txt		(from http://kpens.us/)
07:17:00	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:16:59%20GMT	http://kpens.us/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/jqueryb8ff.js	(from http://kpens.us/)
07:17:00	1216/1216	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Thu,%2006%20Jul%202017%2011:17:00%20GMT	http://kpens.us/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/jquery-migrate.min330a.js	(from http://kpens.us/)
07:17:03	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/glyphicons-halflings-regular.eot	(from http://kpens.us/wp-content/themes/shapely/inc/css/bootstrap.min.css?ver=4.8)
07:17:03	18028/18028	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2006%20Jul%202017%2009:58:47%20GMT	http://kpens.us/wp-content/themes/shapely/inc/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/skatrr%20prelpofc2/kpens.us/images/glyphicons-halflings-regular.woff2	(from http://kpens.us/wp-content/themes/shapely/inc/css/bootstrap.min.css?ver=4.8)
